---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 188          |
|    success_rate         | 0.19         |
| time/                   |              |
|    fps                  | 1157         |
|    iterations           | 12           |
|    time_elapsed         | 10           |
|    total_timesteps      | 62888        |
| train/                  |              |
|    approx_kl            | 0.0073537994 |
|    clip_fraction        | 0.0503       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.108        |
|    learning_rate        | 1e-05        |
|    loss                 | 77.9         |
|    n_updates            | 600          |
|    policy_gradient_loss | -0.0189      |
|    std                  | 1.17         |
|    value_loss           | 195          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 164         |
|    ep_rew_mean          | 186         |
|    success_rate         | 0.21        |
| time/                   |             |
|    fps                  | 1156        |
|    iterations           | 13          |
|    time_elapsed         | 11          |
|    total_timesteps      | 63912       |
| train/                  |             |
|    approx_kl            | 0.005182871 |
|    clip_fraction        | 0.0457      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.261       |
|    learning_rate        | 1e-05       |
|    loss                 | 62.8        |
|    n_updates            | 610         |
|    policy_gradient_loss | -0.0157     |
|    std                  | 1.17        |
|    value_loss           | 189         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 157         |
|    ep_rew_mean          | 172         |
|    success_rate         | 0.17        |
| time/                   |             |
|    fps                  | 1155        |
|    iterations           | 14          |
|    time_elapsed         | 12          |
|    total_timesteps      | 64936       |
| train/                  |             |
|    approx_kl            | 0.006360081 |
|    clip_fraction        | 0.0475      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.343       |
|    learning_rate        | 1e-05       |
|    loss                 | 70.3        |
|    n_updates            | 620         |
|    policy_gradient_loss | -0.0182     |
|    std                  | 1.17        |
|    value_loss           | 156         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 160          |
|    ep_rew_mean          | 174          |
|    success_rate         | 0.17         |
| time/                   |              |
|    fps                  | 1155         |
|    iterations           | 15           |
|    time_elapsed         | 13           |
|    total_timesteps      | 65960        |
| train/                  |              |
|    approx_kl            | 0.0061014364 |
|    clip_fraction        | 0.029        |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.338        |
|    learning_rate        | 1e-05        |
|    loss                 | 135          |
|    n_updates            | 630          |
|    policy_gradient_loss | -0.0164      |
|    std                  | 1.17         |
|    value_loss           | 226          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 159         |
|    ep_rew_mean          | 171         |
|    success_rate         | 0.16        |
| time/                   |             |
|    fps                  | 1154        |
|    iterations           | 16          |
|    time_elapsed         | 14          |
|    total_timesteps      | 66984       |
| train/                  |             |
|    approx_kl            | 0.004655972 |
|    clip_fraction        | 0.0353      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.245       |
|    learning_rate        | 1e-05       |
|    loss                 | 53.8        |
|    n_updates            | 640         |
|    policy_gradient_loss | -0.0135     |
|    std                  | 1.17        |
|    value_loss           | 121         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 158          |
|    ep_rew_mean          | 171          |
|    success_rate         | 0.16         |
| time/                   |              |
|    fps                  | 1153         |
|    iterations           | 17           |
|    time_elapsed         | 15           |
|    total_timesteps      | 68008        |
| train/                  |              |
|    approx_kl            | 0.0047159344 |
|    clip_fraction        | 0.0186       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.316        |
|    learning_rate        | 1e-05        |
|    loss                 | 75.7         |
|    n_updates            | 650          |
|    policy_gradient_loss | -0.0138      |
|    std                  | 1.17         |
|    value_loss           | 163          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 161          |
|    ep_rew_mean          | 174          |
|    success_rate         | 0.16         |
| time/                   |              |
|    fps                  | 1152         |
|    iterations           | 18           |
|    time_elapsed         | 15           |
|    total_timesteps      | 69032        |
| train/                  |              |
|    approx_kl            | 0.0044144504 |
|    clip_fraction        | 0.018        |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.335        |
|    learning_rate        | 1e-05        |
|    loss                 | 60.9         |
|    n_updates            | 660          |
|    policy_gradient_loss | -0.0143      |
|    std                  | 1.17         |
|    value_loss           | 141          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 164         |
|    ep_rew_mean          | 177         |
|    success_rate         | 0.17        |
| time/                   |             |
|    fps                  | 1152        |
|    iterations           | 19          |
|    time_elapsed         | 16          |
|    total_timesteps      | 70056       |
| train/                  |             |
|    approx_kl            | 0.005046562 |
|    clip_fraction        | 0.0332      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.21        |
|    learning_rate        | 1e-05       |
|    loss                 | 125         |
|    n_updates            | 670         |
|    policy_gradient_loss | -0.016      |
|    std                  | 1.17        |
|    value_loss           | 172         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 168          |
|    ep_rew_mean          | 183          |
|    success_rate         | 0.17         |
| time/                   |              |
|    fps                  | 1151         |
|    iterations           | 20           |
|    time_elapsed         | 17           |
|    total_timesteps      | 71080        |
| train/                  |              |
|    approx_kl            | 0.0045937686 |
|    clip_fraction        | 0.0119       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.103        |
|    learning_rate        | 1e-05        |
|    loss                 | 56.3         |
|    n_updates            | 680          |
|    policy_gradient_loss | -0.011       |
|    std                  | 1.17         |
|    value_loss           | 115          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 172          |
|    ep_rew_mean          | 187          |
|    success_rate         | 0.18         |
| time/                   |              |
|    fps                  | 1151         |
|    iterations           | 21           |
|    time_elapsed         | 18           |
|    total_timesteps      | 72104        |
| train/                  |              |
|    approx_kl            | 0.0041094823 |
|    clip_fraction        | 0.0151       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.125        |
|    learning_rate        | 1e-05        |
|    loss                 | 52.4         |
|    n_updates            | 690          |
|    policy_gradient_loss | -0.0119      |
|    std                  | 1.17         |
|    value_loss           | 129          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 169          |
|    ep_rew_mean          | 184          |
|    success_rate         | 0.16         |
| time/                   |              |
|    fps                  | 1150         |
|    iterations           | 22           |
|    time_elapsed         | 19           |
|    total_timesteps      | 73128        |
| train/                  |              |
|    approx_kl            | 0.0065890327 |
|    clip_fraction        | 0.0291       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.0283       |
|    learning_rate        | 1e-05        |
|    loss                 | 52.5         |
|    n_updates            | 700          |
|    policy_gradient_loss | -0.0138      |
|    std                  | 1.17         |
|    value_loss           | 123          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 172         |
|    ep_rew_mean          | 188         |
|    success_rate         | 0.15        |
| time/                   |             |
|    fps                  | 1150        |
|    iterations           | 23          |
|    time_elapsed         | 20          |
|    total_timesteps      | 74152       |
| train/                  |             |
|    approx_kl            | 0.004779012 |
|    clip_fraction        | 0.0254      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.204       |
|    learning_rate        | 1e-05       |
|    loss                 | 106         |
|    n_updates            | 710         |
|    policy_gradient_loss | -0.0154     |
|    std                  | 1.17        |
|    value_loss           | 218         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 175         |
|    ep_rew_mean          | 192         |
|    success_rate         | 0.16        |
| time/                   |             |
|    fps                  | 1149        |
|    iterations           | 24          |
|    time_elapsed         | 21          |
|    total_timesteps      | 75176       |
| train/                  |             |
|    approx_kl            | 0.008475739 |
|    clip_fraction        | 0.0842      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.168       |
|    learning_rate        | 1e-05       |
|    loss                 | 92.7        |
|    n_updates            | 720         |
|    policy_gradient_loss | -0.0184     |
|    std                  | 1.17        |
|    value_loss           | 182         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 179          |
|    ep_rew_mean          | 196          |
|    success_rate         | 0.17         |
| time/                   |              |
|    fps                  | 1147         |
|    iterations           | 25           |
|    time_elapsed         | 22           |
|    total_timesteps      | 76200        |
| train/                  |              |
|    approx_kl            | 0.0035323529 |
|    clip_fraction        | 0.0138       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.148        |
|    learning_rate        | 1e-05        |
|    loss                 | 56.2         |
|    n_updates            | 730          |
|    policy_gradient_loss | -0.0107      |
|    std                  | 1.17         |
|    value_loss           | 116          |
------------------------------------------
