---------------------------------
| rollout/           |          |
| train/                  |              |
|    approx_kl            | 0.0034277993 |
|    clip_fraction        | 0.00889      |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.216        |
|    learning_rate        | 1e-05        |
|    loss                 | 410          |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.008       |
|    std                  | 1.17         |
|    value_loss           | 944          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 164          |
|    ep_rew_mean          | 222          |
|    success_rate         | 0.16         |
| time/                   |              |
|    fps                  | 1158         |
|    iterations           | 12           |
|    time_elapsed         | 10           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0031080483 |
|    clip_fraction        | 0.0125       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.198        |
|    learning_rate        | 1e-05        |
|    loss                 | 324          |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00986     |
|    std                  | 1.17         |
|    value_loss           | 652          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 163          |
|    ep_rew_mean          | 223          |
|    success_rate         | 0.16         |
| time/                   |              |
|    fps                  | 1157         |
|    iterations           | 13           |
|    time_elapsed         | 11           |
|    total_timesteps      | 13312        |
| train/                  |              |
|    approx_kl            | 0.0029198779 |
|    clip_fraction        | 0.00781      |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.549        |
|    learning_rate        | 1e-05        |
|    loss                 | 327          |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00892     |
|    std                  | 1.17         |
|    value_loss           | 674          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 164          |
|    ep_rew_mean          | 222          |
|    success_rate         | 0.149        |
| time/                   |              |
|    fps                  | 1156         |
|    iterations           | 14           |
|    time_elapsed         | 12           |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0035029345 |
|    clip_fraction        | 0.00937      |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.524        |
|    learning_rate        | 1e-05        |
|    loss                 | 299          |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00882     |
|    std                  | 1.17         |
|    value_loss           | 624          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 162         |
|    ep_rew_mean          | 221         |
|    success_rate         | 0.149       |
| time/                   |             |
|    fps                  | 1154        |
|    iterations           | 15          |
|    time_elapsed         | 13          |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.004772988 |
|    clip_fraction        | 0.0277      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.644       |
|    learning_rate        | 1e-05       |
|    loss                 | 178         |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.009      |
|    std                  | 1.17        |
|    value_loss           | 418         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 156          |
|    ep_rew_mean          | 212          |
|    success_rate         | 0.14         |
| time/                   |              |
|    fps                  | 1153         |
|    iterations           | 16           |
|    time_elapsed         | 14           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0035237283 |
|    clip_fraction        | 0.0102       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.709        |
|    learning_rate        | 1e-05        |
|    loss                 | 225          |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00966     |
|    std                  | 1.17         |
|    value_loss           | 516          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 154          |
|    ep_rew_mean          | 211          |
|    success_rate         | 0.13         |
| time/                   |              |
|    fps                  | 1153         |
|    iterations           | 17           |
|    time_elapsed         | 15           |
|    total_timesteps      | 17408        |
| train/                  |              |
|    approx_kl            | 0.0087447185 |
|    clip_fraction        | 0.0904       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.759        |
|    learning_rate        | 1e-05        |
|    loss                 | 176          |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0192      |
|    std                  | 1.17         |
|    value_loss           | 442          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 153          |
|    ep_rew_mean          | 212          |
|    success_rate         | 0.12         |
| time/                   |              |
|    fps                  | 1152         |
|    iterations           | 18           |
|    time_elapsed         | 15           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0023010625 |
|    clip_fraction        | 0.00156      |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.778        |
|    learning_rate        | 1e-05        |
|    loss                 | 146          |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00931     |
|    std                  | 1.17         |
|    value_loss           | 362          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 154         |
|    ep_rew_mean          | 213         |
|    success_rate         | 0.12        |
| time/                   |             |
|    fps                  | 1152        |
|    iterations           | 19          |
|    time_elapsed         | 16          |
|    total_timesteps      | 19456       |
| train/                  |             |
|    approx_kl            | 0.003768328 |
|    clip_fraction        | 0.0181      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.691       |
|    learning_rate        | 1e-05       |
|    loss                 | 285         |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0103     |
|    std                  | 1.17        |
|    value_loss           | 558         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 156          |
|    ep_rew_mean          | 220          |
|    success_rate         | 0.14         |
| time/                   |              |
|    fps                  | 1151         |
|    iterations           | 20           |
|    time_elapsed         | 17           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0045146327 |
|    clip_fraction        | 0.0224       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.576        |
|    learning_rate        | 1e-05        |
|    loss                 | 184          |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.0109      |
|    std                  | 1.17         |
|    value_loss           | 492          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 154          |
|    ep_rew_mean          | 219          |
|    success_rate         | 0.12         |
| time/                   |              |
|    fps                  | 1151         |
|    iterations           | 21           |
|    time_elapsed         | 18           |
|    total_timesteps      | 21504        |
| train/                  |              |
|    approx_kl            | 0.0018193198 |
|    clip_fraction        | 0.00195      |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.356        |
|    learning_rate        | 1e-05        |
|    loss                 | 288          |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00637     |
|    std                  | 1.17         |
|    value_loss           | 573          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 155         |
|    ep_rew_mean          | 219         |
|    success_rate         | 0.12        |
| time/                   |             |
|    fps                  | 1150        |
|    iterations           | 22          |
|    time_elapsed         | 19          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.004166268 |
|    clip_fraction        | 0.017       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.807       |
|    learning_rate        | 1e-05       |
|    loss                 | 204         |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0111     |
|    std                  | 1.17        |
|    value_loss           | 434         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 159          |
|    ep_rew_mean          | 227          |
|    success_rate         | 0.14         |
| time/                   |              |
|    fps                  | 1151         |
|    iterations           | 23           |
|    time_elapsed         | 20           |
|    total_timesteps      | 23552        |
| train/                  |              |
|    approx_kl            | 0.0056751915 |
|    clip_fraction        | 0.0285       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.746        |
|    learning_rate        | 1e-05        |
|    loss                 | 157          |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.0122      |
|    std                  | 1.17         |
|    value_loss           | 388          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 161          |
|    ep_rew_mean          | 230          |
|    success_rate         | 0.15         |
| time/                   |              |
|    fps                  | 1150         |
|    iterations           | 24           |
|    time_elapsed         | 21           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0046704207 |
|    clip_fraction        | 0.0174       |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.474        |
|    learning_rate        | 1e-05        |
|    loss                 | 219          |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00921     |
|    std                  | 1.17         |
|    value_loss           | 519          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 161          |
|    ep_rew_mean          | 231          |
|    success_rate         | 0.15         |
| time/                   |              |
|    fps                  | 1148         |
|    iterations           | 25           |
|    time_elapsed         | 22           |
|    total_timesteps      | 25600        |
| train/                  |              |
|    approx_kl            | 0.0034350534 |
|    clip_fraction        | 0.00762      |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.324        |
|    learning_rate        | 1e-05        |
|    loss                 | 172          |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00905     |
|    std                  | 1.17         |
|    value_loss           | 451          |
------------------------------------------
