Logging to checkpoints/stage0/tb/PPO_1
----------------------------------
| rollout/           |           |
|    total_timesteps      | 286720       |
| train/                  |              |
|    approx_kl            | 1.613074e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.132        |
|    learning_rate        | 1e-05        |
|    loss                 | 1.33e+04     |
|    n_updates            | 2790         |
|    policy_gradient_loss | -0.000253    |
|    std                  | 1.17         |
|    value_loss           | 2.42e+04     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 259           |
|    ep_rew_mean          | -1.57e+03     |
|    success_rate         | 0.63          |
| time/                   |               |
|    fps                  | 1272          |
|    iterations           | 11            |
|    time_elapsed         | 8             |
|    total_timesteps      | 287744        |
| train/                  |               |
|    approx_kl            | 3.6973506e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.23          |
|    learning_rate        | 1e-05         |
|    loss                 | 1.6e+04       |
|    n_updates            | 2800          |
|    policy_gradient_loss | -0.000144     |
|    std                  | 1.17          |
|    value_loss           | 2.92e+04      |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 257         |
|    ep_rew_mean          | -1.56e+03   |
|    success_rate         | 0.59        |
| time/                   |             |
|    fps                  | 1273        |
|    iterations           | 12          |
|    time_elapsed         | 9           |
|    total_timesteps      | 288768      |
| train/                  |             |
|    approx_kl            | 1.95803e-05 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | 0.238       |
|    learning_rate        | 1e-05       |
|    loss                 | 6.16e+03    |
|    n_updates            | 2810        |
|    policy_gradient_loss | -0.000314   |
|    std                  | 1.17        |
|    value_loss           | 1.25e+04    |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 249           |
|    ep_rew_mean          | -1.55e+03     |
|    success_rate         | 0.56          |
| time/                   |               |
|    fps                  | 1274          |
|    iterations           | 13            |
|    time_elapsed         | 10            |
|    total_timesteps      | 289792        |
| train/                  |               |
|    approx_kl            | 1.5019905e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.23          |
|    learning_rate        | 1e-05         |
|    loss                 | 9.35e+03      |
|    n_updates            | 2820          |
|    policy_gradient_loss | -0.000216     |
|    std                  | 1.17          |
|    value_loss           | 1.92e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 248           |
|    ep_rew_mean          | -1.58e+03     |
|    success_rate         | 0.53          |
| time/                   |               |
|    fps                  | 1273          |
|    iterations           | 14            |
|    time_elapsed         | 11            |
|    total_timesteps      | 290816        |
| train/                  |               |
|    approx_kl            | 1.6303966e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.204         |
|    learning_rate        | 1e-05         |
|    loss                 | 1.45e+04      |
|    n_updates            | 2830          |
|    policy_gradient_loss | -0.000186     |
|    std                  | 1.17          |
|    value_loss           | 2.78e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 246           |
|    ep_rew_mean          | -1.6e+03      |
|    success_rate         | 0.49          |
| time/                   |               |
|    fps                  | 1273          |
|    iterations           | 15            |
|    time_elapsed         | 12            |
|    total_timesteps      | 291840        |
| train/                  |               |
|    approx_kl            | 1.3396842e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.23          |
|    learning_rate        | 1e-05         |
|    loss                 | 1.11e+04      |
|    n_updates            | 2840          |
|    policy_gradient_loss | -0.000289     |
|    std                  | 1.17          |
|    value_loss           | 2.33e+04      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 245          |
|    ep_rew_mean          | -1.6e+03     |
|    success_rate         | 0.48         |
| time/                   |              |
|    fps                  | 1274         |
|    iterations           | 16           |
|    time_elapsed         | 12           |
|    total_timesteps      | 292864       |
| train/                  |              |
|    approx_kl            | 2.816494e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.236        |
|    learning_rate        | 1e-05        |
|    loss                 | 1.24e+04     |
|    n_updates            | 2850         |
|    policy_gradient_loss | -0.000179    |
|    std                  | 1.17         |
|    value_loss           | 2.59e+04     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 245           |
|    ep_rew_mean          | -1.65e+03     |
|    success_rate         | 0.46          |
| time/                   |               |
|    fps                  | 1275          |
|    iterations           | 17            |
|    time_elapsed         | 13            |
|    total_timesteps      | 293888        |
| train/                  |               |
|    approx_kl            | 2.0388106e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.116         |
|    learning_rate        | 1e-05         |
|    loss                 | 1.12e+04      |
|    n_updates            | 2860          |
|    policy_gradient_loss | -0.000305     |
|    std                  | 1.17          |
|    value_loss           | 2.42e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 245           |
|    ep_rew_mean          | -1.65e+03     |
|    success_rate         | 0.46          |
| time/                   |               |
|    fps                  | 1275          |
|    iterations           | 18            |
|    time_elapsed         | 14            |
|    total_timesteps      | 294912        |
| train/                  |               |
|    approx_kl            | 3.1702803e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.185         |
|    learning_rate        | 1e-05         |
|    loss                 | 1.49e+04      |
|    n_updates            | 2870          |
|    policy_gradient_loss | -0.000237     |
|    std                  | 1.17          |
|    value_loss           | 2.89e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 243           |
|    ep_rew_mean          | -1.66e+03     |
|    success_rate         | 0.43          |
| time/                   |               |
|    fps                  | 1277          |
|    iterations           | 19            |
|    time_elapsed         | 15            |
|    total_timesteps      | 295936        |
| train/                  |               |
|    approx_kl            | 3.3190416e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.15          |
|    learning_rate        | 1e-05         |
|    loss                 | 9.54e+03      |
|    n_updates            | 2880          |
|    policy_gradient_loss | -0.000432     |
|    std                  | 1.17          |
|    value_loss           | 1.81e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 242           |
|    ep_rew_mean          | -1.67e+03     |
|    success_rate         | 0.41          |
| time/                   |               |
|    fps                  | 1277          |
|    iterations           | 20            |
|    time_elapsed         | 16            |
|    total_timesteps      | 296960        |
| train/                  |               |
|    approx_kl            | 1.7502578e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.2           |
|    learning_rate        | 1e-05         |
|    loss                 | 1.11e+04      |
|    n_updates            | 2890          |
|    policy_gradient_loss | -0.000363     |
|    std                  | 1.17          |
|    value_loss           | 2.43e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 236           |
|    ep_rew_mean          | -1.67e+03     |
|    success_rate         | 0.41          |
| time/                   |               |
|    fps                  | 1276          |
|    iterations           | 21            |
|    time_elapsed         | 16            |
|    total_timesteps      | 297984        |
| train/                  |               |
|    approx_kl            | 1.8446648e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.224         |
|    learning_rate        | 1e-05         |
|    loss                 | 1.21e+04      |
|    n_updates            | 2900          |
|    policy_gradient_loss | -0.000449     |
|    std                  | 1.17          |
|    value_loss           | 2.26e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 236           |
|    ep_rew_mean          | -1.67e+03     |
|    success_rate         | 0.42          |
| time/                   |               |
|    fps                  | 1276          |
|    iterations           | 22            |
|    time_elapsed         | 17            |
|    total_timesteps      | 299008        |
| train/                  |               |
|    approx_kl            | 9.2324335e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.183         |
|    learning_rate        | 1e-05         |
|    loss                 | 1.08e+04      |
|    n_updates            | 2910          |
|    policy_gradient_loss | -0.000443     |
|    std                  | 1.17          |
|    value_loss           | 2.43e+04      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 227           |
|    ep_rew_mean          | -1.64e+03     |
|    success_rate         | 0.39          |
| time/                   |               |
|    fps                  | 1277          |
|    iterations           | 23            |
|    time_elapsed         | 18            |
|    total_timesteps      | 300032        |
| train/                  |               |
|    approx_kl            | 2.2978289e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.204         |
|    learning_rate        | 1e-05         |
|    loss                 | 4.31e+03      |
|    n_updates            | 2920          |
|    policy_gradient_loss | -0.000585     |
|    std                  | 1.17          |
|    value_loss           | 1.31e+04      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 227          |
|    ep_rew_mean          | -1.67e+03    |
|    success_rate         | 0.39         |
| time/                   |              |
|    fps                  | 1278         |
|    iterations           | 24           |
|    time_elapsed         | 19           |
|    total_timesteps      | 301056       |
| train/                  |              |
|    approx_kl            | 5.463895e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -13.8        |
|    explained_variance   | 0.149        |
|    learning_rate        | 1e-05        |
|    loss                 | 1.69e+04     |
|    n_updates            | 2930         |
|    policy_gradient_loss | -0.000299    |
|    std                  | 1.17         |
|    value_loss           | 3.08e+04     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 227           |
|    ep_rew_mean          | -1.67e+03     |
|    success_rate         | 0.37          |
| time/                   |               |
|    fps                  | 1276          |
|    iterations           | 25            |
|    time_elapsed         | 20            |
|    total_timesteps      | 302080        |
| train/                  |               |
|    approx_kl            | 7.2484836e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -13.8         |
|    explained_variance   | 0.131         |
|    learning_rate        | 1e-05         |
|    loss                 | 1.7e+04       |
|    n_updates            | 2940          |
|    policy_gradient_loss | -0.00036      |
|    std                  | 1.17          |
|    value_loss           | 2.97e+04      |
-------------------------------------------
